"Year","Month","Episode","ST","State","Region","Event","BeginDateTime","InjuriesDirect","InjuriesIndirect","DeathsDirect","DeathsIndirect","Lat","Long","Decade","TotalFatalities","TotalInjuries","TotalCasualties","COMUsed"
1950,9,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1950-09-15 17:45:00,6,0,0,0,35,-96.25,"1950s",0,6,6,FALSE
1950,7,NA,"PA","PENNSYLVANIA","MidAtlantic","Tornado",1950-07-05 18:00:00,2,0,0,0,40.58,-75.7,"1950s",0,2,2,FALSE
1950,11,NA,"PA","PENNSYLVANIA","MidAtlantic","Tornado",1950-11-04 17:00:00,1,0,0,0,40.2,-76.12,"1950s",0,1,1,FALSE
1950,5,NA,"NE","NEBRASKA","MidwestWestNC","Tornado",1950-05-08 22:10:00,1,0,0,0,40.38,-95.8,"1950s",0,1,1,FALSE
1950,6,NA,"NE","NEBRASKA","MidwestWestNC","Tornado",1950-06-13 17:30:00,101,0,0,0,42.6,-97.88,"1950s",0,101,101,FALSE
1950,7,NA,"NE","NEBRASKA","MidwestWestNC","Tornado",1950-07-15 17:30:00,33,0,0,0,41.8,-96.6,"1950s",0,33,33,FALSE
1950,1,NA,"TX","TEXAS","SouthWestSC","Tornado",1950-01-26 18:00:00,2,0,0,0,26.88,-98.12,"1950s",0,2,2,FALSE
1950,2,NA,"TX","TEXAS","SouthWestSC","Tornado",1950-02-11 13:50:00,12,0,1,0,29.67,-95.05,"1950s",1,12,13,FALSE
1950,2,NA,"TX","TEXAS","SouthWestSC","Tornado",1950-02-11 21:00:00,5,0,0,0,32.35,-95.2,"1950s",0,5,5,FALSE
1950,2,NA,"TX","TEXAS","SouthWestSC","Tornado",1950-02-11 23:55:00,6,0,0,0,32.98,-94.63,"1950s",0,6,6,FALSE
1950,2,NA,"TX","TEXAS","SouthWestSC","Tornado",1950-02-12 00:30:00,8,0,1,0,33.33,-94.42,"1950s",1,8,9,FALSE
1950,2,NA,"TX","TEXAS","SouthWestSC","Tornado",1950-02-12 11:57:00,32,0,0,0,31.8,-94.2,"1950s",0,32,32,FALSE
1950,2,NA,"TX","TEXAS","SouthWestSC","Tornado",1950-02-12 12:00:00,15,0,3,0,31.8,-94.2,"1950s",3,15,18,FALSE
1950,4,NA,"TX","TEXAS","SouthWestSC","Tornado",1950-04-28 18:00:00,5,0,5,0,32.42,-99.5,"1950s",5,5,10,FALSE
1950,5,NA,"TX","TEXAS","SouthWestSC","Tornado",1950-05-04 20:30:00,13,0,1,0,36.4,-100.8,"1950s",1,13,14,FALSE
1950,4,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1950-04-28 14:17:00,1,0,1,0,34.88,-99.28,"1950s",1,1,2,FALSE
1950,4,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1950-04-28 19:05:00,32,0,5,0,35.08,-96.4,"1950s",5,32,37,FALSE
1950,5,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1950-05-07 23:00:00,3,0,0,0,36.12,-97.83,"1950s",0,3,3,FALSE
1950,5,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1950-05-16 19:30:00,1,0,0,0,35.82,-99.12,"1950s",0,1,1,FALSE
1950,5,NA,"OK","OKLAHOMA","SouthWestSC","Tornado",1950-05-24 21:30:00,2,0,0,0,36.45,-99.03,"1950s",0,2,2,FALSE
1950,2,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1950-02-12 12:00:00,2,0,3,0,34.6,-89.12,"1950s",3,2,5,FALSE
1950,3,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1950-03-27 05:00:00,2,0,1,0,33.17,-90.55,"1950s",1,2,3,FALSE
1950,3,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1950-03-27 07:45:00,7,0,0,0,32.28,-90.27,"1950s",0,7,7,FALSE
1950,3,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1950-03-27 07:45:00,6,0,0,0,32.28,-90.27,"1950s",0,6,6,FALSE
1950,3,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1950-03-27 11:00:00,2,0,0,0,34.73,-88.27,"1950s",0,2,2,FALSE
1950,1,NA,"MO","MISSOURI","MidwestWestNC","Tornado",1950-01-03 11:00:00,3,0,0,0,38.77,-90.22,"1950s",0,3,3,FALSE
1950,6,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1950-06-03 01:00:00,1,0,2,0,33.08,-89.58,"1950s",2,1,3,FALSE
1950,3,NA,"AR","ARKANSAS","SouthWestSC","Tornado",1950-03-26 19:30:00,3,0,0,0,34.12,-93.07,"1950s",0,3,3,FALSE
1950,6,NA,"MN","MINNESOTA","MidwestWestNC","Tornado",1950-06-15 16:42:00,4,0,0,0,46.58,-96.33,"1950s",0,4,4,FALSE
1950,8,NA,"AR","ARKANSAS","SouthWestSC","Tornado",1950-08-24 03:45:00,7,0,0,0,34.4,-91.43,"1950s",0,7,7,FALSE
1950,3,NA,"AR","ARKANSAS","SouthWestSC","Tornado",1950-03-26 19:31:00,1,0,0,0,36.15,-91.83,"1950s",0,1,1,FALSE
1950,3,NA,"AR","ARKANSAS","SouthWestSC","Tornado",1950-03-26 20:30:00,7,0,0,0,34.7,-92.35,"1950s",0,7,7,FALSE
1950,3,NA,"AR","ARKANSAS","SouthWestSC","Tornado",1950-03-26 21:15:00,20,0,0,0,34.98,-91.73,"1950s",0,20,20,FALSE
1950,3,NA,"AR","ARKANSAS","SouthWestSC","Tornado",1950-03-26 23:30:00,2,0,0,0,35.1,-91.4,"1950s",0,2,2,FALSE
1950,4,NA,"AR","ARKANSAS","SouthWestSC","Tornado",1950-04-02 15:30:00,8,0,1,0,35.75,-91.22,"1950s",1,8,9,FALSE
1950,11,NA,"MS","MISSISSIPPI","SouthEastSC","Tornado",1950-11-20 07:30:00,3,0,0,0,32.42,-89.13,"1950s",0,3,3,FALSE
1950,5,NA,"NC","NORTH CAROLINA","SouthSouthAtlantic","Tornado",1950-05-14 17:30:00,5,0,0,0,35,-80.68,"1950s",0,5,5,FALSE
1950,10,NA,"NC","NORTH CAROLINA","SouthSouthAtlantic","Tornado",1950-10-09 02:15:00,3,0,0,0,34.17,-78.6,"1950s",0,3,3,FALSE
1950,8,NA,"CO","COLORADO","WestMountain","Tornado",1950-08-05 17:30:00,1,0,0,0,40.73,-102.55,"1950s",0,1,1,FALSE
1950,2,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-02-12 14:00:00,25,0,5,0,31.63,-93.65,"1950s",5,25,30,FALSE
1950,2,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-02-12 14:00:00,40,0,9,0,32.35,-93.77,"1950s",9,40,49,FALSE
1950,2,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-02-12 14:20:00,37,0,9,0,32.47,-93.7,"1950s",9,37,46,FALSE
1950,3,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-03-19 07:30:00,2,0,0,0,30.45,-93.45,"1950s",0,2,2,FALSE
1950,5,NA,"KS","KANSAS","MidwestWestNC","Tornado",1950-05-04 23:30:00,1,0,0,0,38.27,-98.92,"1950s",0,1,1,FALSE
1950,5,NA,"KS","KANSAS","MidwestWestNC","Tornado",1950-05-05 03:30:00,12,0,0,0,39.62,-95.62,"1950s",0,12,12,FALSE
1950,6,NA,"TX","TEXAS","SouthWestSC","Tornado",1950-06-05 15:55:00,6,0,0,0,30.18,-96.4,"1950s",0,6,6,FALSE
1950,6,NA,"TX","TEXAS","SouthWestSC","Tornado",1950-06-05 16:00:00,2,0,0,0,29.9,-96.4,"1950s",0,2,2,FALSE
1950,6,NA,"IA","IOWA","MidwestWestNC","Tornado",1950-06-15 20:00:00,5,0,0,0,41.98,-93.6,"1950s",0,5,5,FALSE
1950,1,NA,"OH","OHIO","MidwestEastNC","Tornado",1950-01-03 16:00:00,1,0,0,0,40.88,-84.58,"1950s",0,1,1,FALSE
1950,7,NA,"OH","OHIO","MidwestEastNC","Tornado",1950-07-19 15:15:00,30,0,0,0,40.72,-84.08,"1950s",0,30,30,FALSE
1950,5,NA,"KS","KANSAS","MidwestWestNC","Tornado",1950-05-08 19:00:00,1,0,0,0,39.57,-98.3,"1950s",0,1,1,FALSE
1950,1,NA,"MO","MISSOURI","MidwestWestNC","Tornado",1950-01-25 19:30:00,5,0,0,0,37.6,-90.68,"1950s",0,5,5,FALSE
1950,5,NA,"KS","KANSAS","MidwestWestNC","Tornado",1950-05-08 19:30:00,2,0,0,0,39.23,-98.95,"1950s",0,2,2,FALSE
1950,4,NA,"AL","ALABAMA","SouthEastSC","Tornado",1950-04-18 01:30:00,15,0,0,0,30.67,-88.2,"1950s",0,15,15,FALSE
1950,1,NA,"AR","ARKANSAS","SouthWestSC","Tornado",1950-01-13 05:25:00,1,0,1,0,34.4,-94.37,"1950s",1,1,2,FALSE
1950,2,NA,"LA","LOUISIANA","SouthWestSC","Tornado",1950-02-12 14:20:00,10,0,5,0,32.8,-93.23,"1950s",5,10,15,FALSE
1950,7,NA,"CT","CONNECTICUT","NewEngland","Tornado",1950-07-14 06:30:00,3,0,0,0,41.27,-73.5,"1950s",0,3,3,FALSE
1950,12,NA,"IL","ILLINOIS","MidwestEastNC","Tornado",1950-12-02 15:15:00,3,0,1,0,39,-89.92,"1950s",1,3,4,FALSE
1950,12,NA,"IL","ILLINOIS","MidwestEastNC","Tornado",1950-12-02 16:00:00,25,0,2,0,38.8,-89.6,"1950s",2,25,27,FALSE
1950,5,NA,"KS","KANSAS","MidwestWestNC","Tornado",1950-05-08 21:17:00,1,0,0,0,39.4,-97.65,"1950s",0,1,1,FALSE
